사무용의자	460166	[('1009027', 0.999)]
러그	393481	[('1701002', 0.772), ('1701008', 0.058), ('1701007', 0.082), ('1701024', 0.034), ('1701014', 0.007), ('1701011', 0.007), ('1701006', 0.006), ('1701013', 0.005), ('1701012', 0.01), ('1701005', 0.001), ('1006003', 0.001), ('1701027', 0.001), ('1012008', 0.001), ('1001005', 0.001), ('1707032', 0.001), ('1304030', 0.001), ('2801008', 0.001), ('1907002', 0.001), ('1810015', 0.001), ('1701018', 0.001), ('1810018', 0.001)]
커튼	355510	[('1705021', 0.702), ('1705019', 0.097), ('1705020', 0.133), ('1705022', 0.049), ('1705023', 0.001), ('1801039', 0.003), ('1705010', 0.005), ('1705006', 0.003), ('1705005', 0.001), ('1801038', 0.001), ('1705012', 0.001), ('1810028', 0.001)]
화장대	301327	[('1017004', 0.462), ('1017005', 0.391), ('1017010', 0.038), ('1017006', 0.022), ('1017009', 0.016), ('1009015', 0.008), ('1007010', 0.004), ('1014042', 0.003), ('1007011', 0.005), ('1017008', 0.004), ('1017007', 0.01), ('1010005', 0.001), ('1017001', 0.004), ('1002005', 0.002), ('1012006', 0.003), ('1012008', 0.005), ('1014034', 0.002), ('1002004', 0.002), ('1007020', 0.001), ('1007013', 0.001), ('1408011', 0.002), ('1010001', 0.003), ('1002001', 0.001), ('1404002', 0.001), ('1404003', 0.001), ('1408012', 0.001), ('1013009', 0.001), ('1001002', 0.001), ('1009012', 0.001)]
책상	228970	[('1009015', 0.924), ('1013009', 0.013), ('1009012', 0.01), ('1014034', 0.003), ('1009006', 0.002), ('1009027', 0.006), ('1011022', 0.007), ('1017005', 0.002), ('1009013', 0.005), ('1001002', 0.002), ('1014042', 0.001), ('1012008', 0.005), ('1017004', 0.001), ('1005001', 0.001), ('1013011', 0.001), ('1001006', 0.003), ('1009014', 0.002), ('1014036', 0.001), ('1009007', 0.001), ('1009003', 0.002), ('1013004', 0.001), ('1012003', 0.001)]
무드등	225486	[('1808008', 0.223), ('1808011', 0.018), ('1808013', 0.003), ('1810036', 0.745), ('1808007', 0.002), ('1102005', 0.001), ('1102006', 0.001), ('1806014', 0.001), ('1810015', 0.001)]
식탁	200683	[('1013009', 0.828), ('1013010', 0.018), ('1013011', 0.116), ('1013019', 0.012), ('1012008', 0.008), ('1009015', 0.004), ('1001005', 0.003), ('1013022', 0.002), ('1006003', 0.001), ('1013014', 0.001), ('1013004', 0.001), ('1001001', 0.001), ('1005001', 0.001), ('1013018', 0.001), ('1707018', 0.001)]
행거	185131	[('1016003', 0.448), ('1016005', 0.16), ('1016002', 0.122), ('1016001', 0.072), ('1010001', 0.108), ('1016004', 0.059), ('1010005', 0.01), ('1007011', 0.002), ('1002004', 0.001), ('1014042', 0.001), ('1005001', 0.001), ('1410002', 0.002), ('1406003', 0.001), ('1705019', 0.001), ('1406004', 0.002), ('1007021', 0.002), ('1410001', 0.001), ('1303004', 0.001)]
리퍼	184926	[('1006003', 0.019), ('1013009', 0.015), ('1701002', 0.076), ('1007011', 0.018), ('1012008', 0.008), ('1014042', 0.007), ('1601022', 0.029), ('1704051', 0.007), ('1001002', 0.004), ('1616003', 0.003), ('1007010', 0.012), ('1014034', 0.004), ('1009015', 0.02), ('1013022', 0.003), ('1705021', 0.005), ('1007020', 0.004), ('1012006', 0.007), ('1001005', 0.004), ('1609039', 0.022), ('1404002', 0.002), ('1007005', 0.002), ('1606016', 0.019), ('1601029', 0.005), ('1603017', 0.007), ('1007013', 0.001), ('1609038', 0.009), ('1305022', 0.003), ('1304030', 0.037), ('1009021', 0.001), ('1120001', 0.005), ('1010005', 0.001), ('1013011', 0.003), ('1616009', 0.003), ('1609008', 0.006), ('1616013', 0.006), ('1404003', 0.005), ('1004001', 0.004), ('1704050', 0.001), ('1808011', 0.001), ('1402008', 0.014), ('1602021', 0.025), ('1102006', 0.003), ('1111015', 0.003), ('1005001', 0.005), ('1706011', 0.01), ('1006001', 0.001), ('1403003', 0.004), ('1601009', 0.009), ('1806068', 0.001), ('1601028', 0.03), ('1406003', 0.018), ('1602004', 0.011), ('1803002', 0.003), ('1608018', 0.002), ('1707032', 0.004), ('1704071', 0.001), ('1017004', 0.001), ('1801009', 0.002), ('1002004', 0.002), ('1706018', 0.001), ('1402003', 0.001), ('1606029', 0.003), ('1015002', 0.002), ('1402005', 0.004), ('1601024', 0.006), ('1601006', 0.009), ('1302059', 0.007), ('1010001', 0.001), ('1810013', 0.001), ('1007021', 0.002), ('1003002', 0.001), ('1002005', 0.015), ('1610061', 0.014), ('1408015', 0.013), ('1013014', 0.001), ('1602011', 0.007), ('1701024', 0.001), ('1602003', 0.002), ('1803006', 0.002), ('1601025', 0.001), ('1408011', 0.003), ('1601003', 0.004), ('1601031', 0.003), ('1016003', 0.003), ('1403002', 0.002), ('1304048', 0.004), ('1102074', 0.004), ('1016002', 0.005), ('1603016', 0.003), ('2601012', 0.005), ('1016005', 0.002), ('1601002', 0.002), ('1806067', 0.001), ('1810015', 0.008), ('1609017', 0.001), ('1810036', 0.003), ('1602005', 0.009), ('1102047', 0.014), ('1606008', 0.001), ('1121041', 0.001), ('1121076', 0.002), ('1304037', 0.002), ('1705020', 0.001), ('1610058', 0.001), ('1004004', 0.001), ('1809002', 0.001), ('1707003', 0.003), ('1012002', 0.003), ('1807026', 0.003), ('1705019', 0.003), ('2416003', 0.005), ('1610036', 0.001), ('1601027', 0.001), ('1013019', 0.002), ('1602008', 0.001), ('1615032', 0.001), ('1613020', 0.002), ('1707022', 0.001), ('1108006', 0.001), ('1601021', 0.003), ('1701013', 0.002), ('1601005', 0.001), ('1810026', 0.001), ('1801007', 0.003), ('1402014', 0.001), ('1408001', 0.01), ('1707018', 0.002), ('1603019', 0.001), ('1707014', 0.001), ('1304039', 0.005), ('1701008', 0.004), ('1017005', 0.001), ('1704049', 0.001), ('1704007', 0.001), ('1111001', 0.001), ('1102052', 0.003), ('1011035', 0.001), ('1013018', 0.001), ('1404001', 0.003), ('1006004', 0.001), ('1013023', 0.003), ('1610035', 0.004), ('1102044', 0.001), ('1810012', 0.001), ('1102003', 0.001), ('1603023', 0.001), ('1807028', 0.001), ('1011008', 0.001), ('1602010', 0.006), ('1001001', 0.004), ('1407008', 0.002), ('1608011', 0.002), ('1610015', 0.001), ('1602024', 0.001), ('1902013', 0.003), ('1608024', 0.003), ('1303004', 0.002), ('1610059', 0.001), ('1013010', 0.001), ('1810007', 0.001), ('1810027', 0.001), ('1609004', 0.001), ('1602002', 0.001), ('1403005', 0.003), ('1602029', 0.002), ('1111016', 0.001), ('1302055', 0.005), ('1613012', 0.001), ('1603015', 0.001), ('1305003', 0.002), ('1901003', 0.002), ('1305014', 0.001), ('1609006', 0.001), ('1606006', 0.001), ('1602020', 0.001), ('2404004', 0.001), ('2606003', 0.001), ('1102041', 0.008), ('1910001', 0.021), ('1810018', 0.001), ('1615025', 0.007), ('1608016', 0.005), ('1608010', 0.002), ('1012003', 0.002), ('1401007', 0.002), ('1405017', 0.001), ('1602030', 0.003), ('1609043', 0.001), ('1120005', 0.001), ('1121022', 0.001), ('2801005', 0.001), ('1007008', 0.001), ('1609034', 0.012), ('1613009', 0.01), ('1402016', 0.006), ('1706020', 0.005), ('1611003', 0.001), ('1809016', 0.004), ('1012010', 0.002), ('2801004', 0.002), ('1410003', 0.001), ('1609047', 0.001), ('1605005', 0.001), ('2502042', 0.001), ('1809031', 0.002), ('2501010', 0.001), ('1610038', 0.001), ('1902014', 0.001), ('1609007', 0.001), ('2501006', 0.001), ('1904002', 0.001), ('1602015', 0.001), ('2701010', 0.001), ('1608037', 0.001)]
침대프레임	182026	[('1014042', 0.695), ('1014044', 0.077), ('1014028', 0.049), ('1014034', 0.134), ('1014035', 0.009), ('1014043', 0.008), ('1014050', 0.003), ('1004001', 0.001), ('1014023', 0.003), ('1014030', 0.006), ('1014045', 0.002), ('1014046', 0.001), ('1014020', 0.007), ('1014036', 0.001), ('1704008', 0.001), ('1011035', 0.001)]
